"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R8";"R_0805_2012Metric";1;"390";;;
2;"C8,C17,C12,C18,C13,C5,C15,C14,C19,C16";"C_0805_2012Metric";10;"100n";;;
3;"C21,C20,C7";"C_0805_2012Metric";3;"10n";;;
4;"U1";"SOP-4_4.4x2.6mm_P1.27mm";1;"VOS628A";;;
5;"D3,D2";"D_SMA";2;"S1M";;;
6;"TP2";"TestPoint_Pad_D1.0mm";1;"+24V";;;
7;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX4238ASA";;;
8;"J3";"IDC-Header_2x03_P2.54mm_Vertical";1;"SWD";;;
9;"TP4";"TestPoint_Pad_D1.0mm";1;"+5V";;;
10;"R20,R19";"R_0805_2012Metric";2;"3k3";;;
11;"J5";"PinSocket_1x02_P2.54mm_Vertical";1;"Reset_Switch";;;
12;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"47u";;;
13;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"UART";;;
14;"R1,R4,R17,R5,R15,R3,R2,R13,R9,R11";"R_0805_2012Metric";10;"10k";;;
15;"R14,R16,R18,R10,R12";"R_0805_2012Metric";5;"100k";;;
16;"C6,C3,C2,C11,C4";"C_1210_3225Metric";5;"1u";;;
17;"PS1";"PDSE1_DCDC";1;"PDSE1-S24-S5-S";;;
18;"R7";"R_0805_2012Metric";1;"100";;;
19;"C10,C9";"C_0805_2012Metric";2;"20p";;;
20;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"Si8751";;;
21;"TP5";"TestPoint_Pad_D1.0mm";1;"+3V3";;;
22;"U8";"TSOP-6_1.65x3.05mm_P0.95mm";1;"PCT2075GV";;;
23;"J1";"PhoenixContact_MSTBVA_2,5_3-G_1x03_P5.00mm_Vertical";1;"AC_Input";;;
24;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fast 12A";;;
25;"TP3";"TestPoint_Pad_D1.0mm";1;"Heater";;;
26;"TP1";"TestPoint_Pad_D1.0mm";1;"ZeroCross";;;
27;"U2";"SOT-89-3";1;"L78L24_SOT89";;;
28;"D1";"TO-269AA";1;"MB6S-TP";;;
29;"U7";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072CBTx";;;
30;"U4";"SOT-223";1;"AP2111H-3.3";;;
31;"R6";"R_0805_2012Metric";1;"22k";;;
32;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_8MHz";;;
33;"Q2,Q1";"TO-252-2";2;"KIA50N06BD";;;
34;"U6";"OLED_SSD1306_SPI_1.54";1;"OLED";;;
35;"J2";"Hirose_RPC1";1;"Hirose RPC1-12RB-6P(71)";;;
36;"SW2";"RotaryEncoder_PEC11R_PEC12R";1;"PEC11R-RotEnc";;;
